id,nombre,categoria,imagen,precio,descripción corta,especificaciones,,,
1,Controlador XM 18 - 110V,termostatos,xm13.jpg,679,"Controlador automático para incubadora, incluye sensor de temperatura y sensor de humedad","Control temperatura
Control humedad
Control volteo
Control ventilación
Alarma configurable
Salida para resistencia principal 110V y 8A
Incluye 2 sensores",,,
2,Controlador XM 18 S - 110V,termostatos,xm_s.jpg,1299,"Controlador automático para incubadora, incluye sensor de temperatura y sensor de humedad. Versión mejorada de XM 18","Control temperatura
Control humedad
Control volteo
Control ventilación
Alarma configurable
Salida para resistencia principal 110V y 12A
Incluye 2 sensores
Contador de días de incubación
Configuración para varias especies de aves",,, 
3,Termostato STC 3028 - 110V,termostatos,stc3.jpg,189,"Control de temperatura y humedad, incluye sensor.","Control temperatura
Control humedad
Incluye sensor",,,
4,Charola de volteo rodillos - 110V,Charolas,wmremove-transformed3.jpeg,500,"Charola de rodillos, incluye motor 2.5 rpm a 110V","Ideal para diferentes tamaños de huevo
Velocidad 2.5 rpm
Dimensiones 45 x 46.5 x 6.5 cm
",,,
5,Motor de volteo 14W - 110V,Motores de volteo,Gemini_Generated_Image_mopa4pmopa4pmopa.png,379,"Motor de volteo robusto con carcaza de metal, capacitor eléctrico y giro ajustable","Motor reductor
Con capacitor eléctrico
Carcaza de ácero
14W potencia
Vecolidad de 2.5 rpm
Capaz de voltear +500huevos",,,
6,Motor síncrono - 110V,Motores de volteo,8163aa137ed4049faa563fbb96124833-removebg-preview.png,140,Motor síncrono de 2.5 rpm,"Motor síncrono
2.5 rpm",,,
7,Charola / Filler,Charolas,charola54_1.jpg,90,"Charola para incubadora, capacidad 54 huevos","Para huevo de gallina
Capacidad 54 huevos
Dimensiones 37.5 x 30 x 7.5 cm",,,
8,"Humidificador
110V",Humidificadores,Gemini_Generated_Image_9okfey9okfey9okf.png,249,Humidificador ultrasónico nebulizador,"Humidificador nebulizador
Sumergible
Incluye eliminador
Sin agua se detiene automáticamente",,,
9,3 Lámparas para ovoscopia,Ovoscopía,lamparaacero16.jpg,149,Kit de 3 lámparas para ovoscopia de acero inoxidable,"Acero inoxidable
Usa 1 batería AAA
Tipo pluma
10.5 cm largo",,,
10,Resistencia eléctrica 300W - 110V,Resistencias,Resistencia300.jpg,300,Resistencia 300W fabricada en aluminio con bases de silicón,"Resistencia con bases de silicón
300W de potencia
Disipadores de calor
Fabricado en aluminio
Dimensiones 11.9 x 2.6 x 5.2 cm",,,
11,3 Resistencia eléctrica - 110V,Resistencias,ptc1.jpg,180,Kit de 3 resistencias eléctricas,"Resistencia eléctrica
100W
cable 30 cm
Fabricado en aluminio",,,
12,Ventilador de trabajo - 110V,Ventiladores,ventilador3.png,229,Ventilador de alto flujo para incubadora,"Ventilador alto flujo
Cuerpo de acero
Aspas plásticas
Dimensiones 12 x 12 x 3.8 cm",,,
